project_type,surface_area,materials,location,complexity,estimated_cost,project_type_encoded,materials_encoded,location_encoded
commercial,111.7,basic,rural,2,97978,0,0,0
house,54.6,basic,urban,4,113149,1,0,2
commercial,251.5,standard,rural,2,300609,0,2,0
house,148.4,premium,suburban,4,400230,1,1,1
house,148.8,standard,rural,2,157191,1,2,0
landscaping,218.9,basic,rural,2,20656,2,0,0
renovation,87.2,premium,suburban,2,116547,3,1,1
commercial,346.2,basic,rural,4,546637,0,0,0
commercial,195.2,basic,rural,4,321194,0,0,0
renovation,32.1,premium,rural,5,50794,3,1,0
house,194.5,standard,urban,3,398998,1,2,2
commercial,807.8,standard,rural,3,1570550,0,2,0
landscaping,510.7,basic,urban,1,94293,2,0,2
renovation,29.5,basic,rural,5,31548,3,0,0
commercial,588.3,premium,suburban,2,1270033,0,1,1
house,176.1,basic,rural,2,160325,1,0,0
commercial,481.5,premium,suburban,3,1419826,0,1,1
landscaping,596.1,standard,suburban,3,135223,2,2,1
commercial,588.5,premium,rural,4,1463040,0,1,0
commercial,577.2,basic,rural,2,586689,0,0,0
landscaping,291.9,premium,suburban,2,72673,2,1,1
house,272.1,standard,urban,3,620155,1,2,2
commercial,275.9,premium,urban,4,1114226,0,1,2
house,170.0,basic,rural,3,198146,1,0,0
landscaping,482.5,basic,suburban,5,104753,2,0,1
commercial,517.8,standard,rural,5,1253772,0,2,0
landscaping,353.5,basic,urban,2,72461,2,0,2
commercial,581.8,basic,suburban,1,744718,0,0,1
house,177.6,standard,rural,4,252715,1,2,0
landscaping,22.0,basic,rural,3,2655,2,0,0
landscaping,220.2,basic,urban,2,39162,2,0,2
house,87.8,premium,urban,1,200325,1,1,2
renovation,67.7,premium,suburban,1,79877,3,1,1
renovation,84.4,premium,rural,1,74248,3,1,0
landscaping,357.2,standard,rural,5,81756,2,2,0
house,123.6,standard,urban,3,250746,1,2,2
renovation,50.1,standard,rural,5,65006,3,2,0
house,104.9,standard,suburban,4,193275,1,2,1
landscaping,379.7,standard,urban,5,158656,2,2,2
renovation,87.7,premium,rural,5,132552,3,1,0
landscaping,153.7,basic,suburban,4,33353,2,0,1
landscaping,177.2,standard,rural,5,38040,2,2,0
commercial,442.6,standard,rural,5,1066008,0,2,0
house,111.3,standard,urban,4,283199,1,2,2
house,111.0,basic,urban,3,215002,1,0,2
commercial,350.4,basic,suburban,3,613209,0,0,1
landscaping,153.5,basic,urban,3,31284,2,0,2
landscaping,369.1,premium,suburban,5,139768,2,1,1
house,154.8,standard,urban,2,272655,1,2,2
landscaping,323.0,standard,urban,2,76517,2,2,2
renovation,81.3,basic,urban,5,112958,3,0,2
commercial,477.4,basic,urban,5,1448013,0,0,2
commercial,522.3,premium,suburban,2,1628408,0,1,1
renovation,96.6,standard,suburban,5,150363,3,2,1
commercial,701.8,premium,urban,5,3934664,0,1,2
landscaping,187.4,premium,suburban,5,60297,2,1,1
renovation,65.0,basic,urban,4,86013,3,0,2
renovation,47.9,standard,suburban,4,68140,3,2,1
renovation,79.8,standard,rural,4,85024,3,2,0
house,49.3,premium,urban,2,133310,1,1,2
house,148.5,standard,rural,3,197511,1,2,0
renovation,106.1,standard,urban,2,160047,3,2,2
renovation,93.1,standard,rural,2,73856,3,2,0
landscaping,449.3,standard,rural,4,91951,2,2,0
landscaping,344.7,basic,rural,1,36370,2,0,0
renovation,67.8,premium,urban,3,151830,3,1,2
landscaping,350.1,basic,rural,2,36369,2,0,0
renovation,68.3,basic,urban,4,73453,3,0,2
house,140.0,premium,suburban,3,343691,1,1,1
renovation,81.0,basic,rural,1,42603,3,0,0
landscaping,351.5,standard,urban,5,115374,2,2,2
house,78.4,standard,suburban,2,116427,1,2,1
commercial,20.0,standard,rural,2,31963,0,2,0
house,199.2,basic,urban,3,408233,1,0,2
commercial,193.1,basic,urban,5,626675,0,0,2
landscaping,402.1,basic,urban,5,128297,2,0,2
commercial,654.0,basic,rural,2,808416,0,0,0
commercial,611.7,premium,rural,2,1213979,0,1,0
house,111.0,basic,rural,5,143484,1,0,0
landscaping,173.5,premium,rural,1,29319,2,1,0
landscaping,382.9,basic,suburban,2,49131,2,0,1
renovation,45.9,basic,urban,5,66453,3,0,2
commercial,484.9,basic,suburban,3,877758,0,0,1
house,157.4,basic,urban,1,192021,1,0,2
renovation,42.3,standard,rural,3,41193,3,2,0
landscaping,63.3,premium,rural,4,17604,2,1,0
landscaping,431.4,standard,suburban,3,82000,2,2,1
house,121.6,basic,suburban,1,120448,1,0,1
renovation,24.9,basic,suburban,4,21108,3,0,1
house,217.1,premium,suburban,4,470718,1,1,1
renovation,59.7,standard,suburban,1,46133,3,2,1
house,99.3,standard,suburban,3,184287,1,2,1
commercial,619.3,premium,urban,2,2184738,0,1,2
renovation,109.1,basic,rural,1,53790,3,0,0
commercial,561.1,basic,urban,2,971578,0,0,2
landscaping,212.3,premium,rural,5,68449,2,1,0
renovation,129.7,premium,urban,1,180974,3,1,2
house,130.8,standard,urban,5,363746,1,2,2
renovation,76.1,standard,rural,1,43696,3,2,0
commercial,737.3,premium,suburban,4,2008739,0,1,1
commercial,360.1,premium,rural,2,756144,0,1,0
landscaping,243.3,basic,urban,5,72657,2,0,2
landscaping,550.7,premium,suburban,3,190090,2,1,1
landscaping,542.6,basic,rural,3,68741,2,0,0
commercial,483.6,premium,rural,1,893016,0,1,0
commercial,563.2,basic,urban,3,1299889,0,0,2
renovation,104.4,premium,urban,4,222683,3,1,2
renovation,76.4,standard,urban,5,163521,3,2,2
commercial,847.9,standard,suburban,3,1795846,0,2,1
landscaping,137.6,premium,suburban,2,28924,2,1,1
commercial,275.8,basic,suburban,1,330708,0,0,1
landscaping,186.1,basic,rural,1,18961,2,0,0
house,162.3,basic,suburban,3,233921,1,0,1
renovation,89.6,basic,rural,3,66041,3,0,0
landscaping,200.3,basic,urban,5,51000,2,0,2
landscaping,437.1,standard,rural,5,109977,2,2,0
renovation,68.1,premium,rural,2,70237,3,1,0
house,113.6,standard,rural,1,97588,1,2,0
house,186.0,premium,rural,4,472655,1,1,0
renovation,45.7,standard,rural,3,39623,3,2,0
renovation,39.7,standard,rural,2,28530,3,2,0
house,66.8,basic,urban,3,127010,1,0,2
commercial,674.6,standard,suburban,4,2011810,0,2,1
renovation,186.7,premium,rural,4,274220,3,1,0
commercial,289.1,basic,urban,4,716641,0,0,2
commercial,408.3,premium,suburban,4,1425873,0,1,1
commercial,452.1,premium,urban,3,1720744,0,1,2
commercial,438.7,standard,urban,5,1301425,0,2,2
renovation,117.9,basic,urban,4,158936,3,0,2
landscaping,270.9,premium,rural,3,66175,2,1,0
renovation,104.9,standard,rural,3,86942,3,2,0
commercial,608.7,standard,rural,3,955312,0,2,0
commercial,409.9,basic,urban,2,709407,0,0,2
landscaping,188.2,basic,rural,5,37528,2,0,0
landscaping,363.5,basic,urban,1,56044,2,0,2
landscaping,370.2,standard,urban,4,132496,2,2,2
landscaping,306.6,standard,rural,2,37406,2,2,0
house,206.4,basic,rural,3,254466,1,0,0
landscaping,421.1,basic,urban,5,118032,2,0,2
renovation,57.7,standard,suburban,3,67933,3,2,1
landscaping,345.4,basic,suburban,2,58467,2,0,1
landscaping,249.7,basic,rural,3,37518,2,0,0
house,148.8,premium,suburban,5,558780,1,1,1
renovation,69.9,premium,rural,1,64900,3,1,0
commercial,430.5,premium,urban,5,1912423,0,1,2
landscaping,260.7,basic,suburban,4,40491,2,0,1
landscaping,346.4,basic,rural,2,42339,2,0,0
landscaping,357.2,premium,rural,5,112320,2,1,0
renovation,105.4,premium,rural,1,91186,3,1,0
renovation,158.4,basic,suburban,2,126580,3,0,1
house,156.0,standard,rural,5,242792,1,2,0
landscaping,438.9,premium,suburban,2,112169,2,1,1
landscaping,289.0,premium,suburban,3,83406,2,1,1
commercial,424.9,standard,rural,1,545544,0,2,0
commercial,125.0,premium,urban,2,457815,0,1,2
commercial,254.0,premium,rural,5,864848,0,1,0
house,125.1,standard,urban,1,200391,1,2,2
renovation,53.1,premium,suburban,3,58023,3,1,1
renovation,71.5,premium,rural,4,96624,3,1,0
house,162.7,premium,suburban,4,414594,1,1,1
house,181.6,basic,suburban,5,304049,1,0,1
commercial,853.0,standard,suburban,5,2946114,0,2,1
landscaping,121.9,premium,suburban,1,29455,2,1,1
house,138.5,premium,urban,2,405468,1,1,2
house,217.7,standard,rural,1,183492,1,2,0
landscaping,209.0,basic,suburban,2,32387,2,0,1
commercial,751.9,standard,rural,2,1303377,0,2,0
house,255.6,standard,urban,3,510121,1,2,2
landscaping,394.8,basic,suburban,1,45928,2,0,1
house,145.2,premium,suburban,4,457936,1,1,1
house,37.7,basic,suburban,5,66455,1,0,1
landscaping,264.0,standard,urban,5,98422,2,2,2
renovation,104.8,premium,rural,5,143477,3,1,0
landscaping,302.3,premium,suburban,5,88230,2,1,1
house,243.3,standard,rural,2,325132,1,2,0
commercial,517.4,premium,suburban,2,1109231,0,1,1
renovation,60.0,standard,urban,2,58073,3,2,2
house,158.0,standard,rural,5,239722,1,2,0
landscaping,392.4,premium,suburban,3,132430,2,1,1
landscaping,323.8,standard,urban,4,119075,2,2,2
renovation,85.3,basic,rural,5,82154,3,0,0
renovation,110.5,basic,suburban,1,67854,3,0,1
commercial,697.6,premium,urban,3,3104915,0,1,2
house,128.4,premium,rural,2,163215,1,1,0
landscaping,361.0,premium,urban,1,98156,2,1,2
commercial,587.2,premium,suburban,5,2177097,0,1,1
house,152.8,basic,suburban,2,144617,1,0,1
house,164.2,standard,rural,4,281601,1,2,0
house,209.1,standard,suburban,1,245707,1,2,1
commercial,629.4,premium,suburban,2,1425341,0,1,1
renovation,60.2,premium,urban,5,150136,3,1,2
landscaping,264.2,standard,rural,5,50069,2,2,0
renovation,60.8,standard,suburban,5,100535,3,2,1
commercial,69.4,standard,suburban,3,145328,0,2,1
house,116.9,basic,rural,5,172883,1,0,0
house,148.6,basic,rural,2,155623,1,0,0
commercial,21.1,standard,urban,3,52852,0,2,2
commercial,584.3,basic,suburban,2,909301,0,0,1
house,138.3,premium,urban,1,248241,1,1,2
house,217.9,basic,rural,1,172004,1,0,0
commercial,595.0,basic,rural,2,744828,0,0,0
commercial,671.7,basic,rural,5,1086352,0,0,0
renovation,62.3,premium,suburban,2,88384,3,1,1
renovation,71.3,premium,suburban,3,98753,3,1,1
house,167.2,basic,rural,1,103205,1,0,0
landscaping,347.7,standard,suburban,2,63992,2,2,1
house,142.7,premium,suburban,1,246282,1,1,1
renovation,101.4,premium,rural,5,147630,3,1,0
commercial,325.3,premium,suburban,2,946264,0,1,1
renovation,20.0,basic,suburban,5,23246,3,0,1
house,160.9,basic,suburban,2,209452,1,0,1
renovation,63.3,standard,suburban,3,68601,3,2,1
house,114.4,premium,suburban,3,286588,1,1,1
landscaping,168.8,premium,rural,5,48783,2,1,0
landscaping,197.0,premium,rural,4,50398,2,1,0
house,92.5,standard,suburban,1,110958,1,2,1
house,139.3,standard,suburban,5,192499,1,2,1
commercial,687.7,premium,urban,5,3635773,0,1,2
renovation,58.7,standard,urban,4,92696,3,2,2
landscaping,276.6,basic,suburban,4,52068,2,0,1
commercial,798.6,premium,rural,3,1848231,0,1,0
renovation,46.1,premium,rural,2,53916,3,1,0
landscaping,280.5,standard,suburban,4,70987,2,2,1
renovation,58.1,premium,suburban,4,111463,3,1,1
commercial,650.7,standard,suburban,1,989073,0,2,1
landscaping,217.9,premium,urban,5,121216,2,1,2
landscaping,431.6,premium,rural,2,86198,2,1,0
house,168.1,basic,rural,2,185350,1,0,0
landscaping,291.2,standard,rural,4,53357,2,2,0
house,168.6,basic,urban,4,342331,1,0,2
renovation,80.3,basic,urban,1,56932,3,0,2
house,125.3,basic,urban,1,157847,1,0,2
renovation,74.2,standard,urban,3,113298,3,2,2
landscaping,110.1,basic,suburban,1,12775,2,0,1
renovation,97.4,premium,rural,2,88947,3,1,0
commercial,635.7,basic,suburban,4,1175192,0,0,1
house,79.6,premium,suburban,5,209557,1,1,1
renovation,86.0,basic,suburban,5,98940,3,0,1
landscaping,111.0,premium,suburban,1,26545,2,1,1
landscaping,382.1,standard,rural,3,58340,2,2,0
commercial,708.0,standard,suburban,4,1526099,0,2,1
landscaping,261.4,basic,urban,3,62883,2,0,2
house,153.1,standard,rural,4,256756,1,2,0
commercial,80.8,standard,rural,5,170911,0,2,0
house,246.2,basic,urban,2,394185,1,0,2
renovation,38.9,premium,urban,5,114069,3,1,2
house,63.9,premium,suburban,2,130344,1,1,1
landscaping,283.9,basic,rural,1,25745,2,0,0
landscaping,463.9,standard,suburban,5,101175,2,2,1
landscaping,311.8,premium,urban,5,155518,2,1,2
landscaping,363.1,standard,suburban,4,93824,2,2,1
landscaping,156.8,basic,suburban,1,19527,2,0,1
house,99.2,basic,urban,5,214661,1,0,2
renovation,114.1,basic,suburban,1,86556,3,0,1
landscaping,181.6,standard,rural,4,34527,2,2,0
house,66.0,premium,rural,5,151584,1,1,0
house,86.2,basic,urban,4,183530,1,0,2
renovation,60.5,premium,urban,1,85183,3,1,2
house,98.4,premium,urban,4,364656,1,1,2
house,276.4,premium,urban,2,645744,1,1,2
commercial,362.7,premium,suburban,4,1156225,0,1,1
commercial,652.7,standard,suburban,4,1750381,0,2,1
commercial,379.2,basic,suburban,2,694230,0,0,1
landscaping,240.8,standard,urban,5,87268,2,2,2
renovation,40.4,basic,suburban,3,35332,3,0,1
renovation,84.2,basic,suburban,4,90370,3,0,1
landscaping,110.6,premium,suburban,1,24680,2,1,1
commercial,766.1,standard,urban,4,2361367,0,2,2
house,83.0,basic,suburban,4,121287,1,0,1
renovation,92.3,basic,suburban,3,81298,3,0,1
landscaping,377.3,basic,rural,3,58857,2,0,0
renovation,68.9,premium,rural,2,72329,3,1,0
renovation,59.3,premium,rural,1,55643,3,1,0
house,117.4,premium,rural,5,259999,1,1,0
house,165.0,premium,suburban,4,476339,1,1,1
commercial,605.1,premium,urban,5,2454028,0,1,2
house,195.5,basic,rural,3,179068,1,0,0
commercial,682.0,standard,urban,5,2372205,0,2,2
landscaping,449.5,standard,suburban,2,78615,2,2,1
commercial,211.2,basic,urban,5,619475,0,0,2
house,172.0,standard,urban,3,385771,1,2,2
house,79.2,basic,suburban,3,116889,1,0,1
commercial,367.1,premium,suburban,1,764274,0,1,1
renovation,119.1,standard,urban,1,112655,3,2,2
renovation,58.7,premium,suburban,4,97775,3,1,1
landscaping,259.5,basic,rural,2,33283,2,0,0
commercial,369.0,basic,urban,4,874105,0,0,2
commercial,230.3,standard,urban,4,687635,0,2,2
renovation,20.0,premium,rural,1,18158,3,1,0
renovation,52.6,basic,urban,1,43683,3,0,2
renovation,86.6,standard,rural,3,74878,3,2,0
renovation,53.9,basic,rural,2,39551,3,0,0
landscaping,244.2,basic,rural,4,37325,2,0,0
house,232.6,standard,suburban,2,404617,1,2,1
house,133.4,standard,rural,4,224174,1,2,0
renovation,84.2,standard,rural,5,98449,3,2,0
renovation,55.5,premium,rural,4,52402,3,1,0
house,256.0,standard,rural,4,431750,1,2,0
commercial,509.1,standard,rural,1,603482,0,2,0
renovation,45.7,standard,urban,1,47856,3,2,2
house,129.3,standard,suburban,2,214081,1,2,1
commercial,189.4,premium,suburban,4,547043,0,1,1
commercial,487.8,premium,rural,1,825166,0,1,0
house,137.0,standard,urban,3,310249,1,2,2
landscaping,228.1,basic,urban,3,52974,2,0,2
renovation,64.1,premium,rural,2,62708,3,1,0
landscaping,386.5,basic,urban,5,123023,2,0,2
house,111.0,premium,urban,2,280998,1,1,2
renovation,96.5,basic,suburban,5,125268,3,0,1
landscaping,327.1,basic,urban,3,67015,2,0,2
house,166.7,basic,urban,2,272969,1,0,2
house,79.6,basic,rural,4,115305,1,0,0
landscaping,476.6,basic,urban,3,115199,2,0,2
renovation,51.1,basic,rural,1,21397,3,0,0
commercial,474.6,premium,suburban,4,1357903,0,1,1
commercial,632.1,standard,urban,2,1457281,0,2,2
commercial,392.8,standard,suburban,1,554521,0,2,1
landscaping,483.8,basic,rural,3,65840,2,0,0
renovation,113.7,premium,rural,3,135434,3,1,0
renovation,79.2,premium,urban,4,218013,3,1,2
renovation,66.5,premium,urban,4,171450,3,1,2
landscaping,366.4,standard,suburban,4,86214,2,2,1
house,141.4,basic,urban,4,255842,1,0,2
renovation,85.2,standard,suburban,3,90798,3,2,1
house,170.9,premium,suburban,4,458832,1,1,1
house,139.9,standard,suburban,2,204934,1,2,1
renovation,29.5,basic,suburban,1,17569,3,0,1
house,164.1,basic,urban,2,290721,1,0,2
landscaping,263.3,basic,rural,5,51770,2,0,0
house,219.7,standard,suburban,4,405918,1,2,1
commercial,382.3,standard,suburban,4,1002139,0,2,1
house,71.2,standard,suburban,2,115116,1,2,1
commercial,356.8,premium,rural,2,787095,0,1,0
renovation,118.0,basic,suburban,1,74213,3,0,1
renovation,79.9,standard,suburban,4,99652,3,2,1
house,141.2,premium,rural,1,219654,1,1,0
commercial,740.8,basic,suburban,4,1519501,0,0,1
commercial,732.2,standard,suburban,4,1680658,0,2,1
renovation,80.2,basic,rural,4,71768,3,0,0
commercial,398.8,premium,rural,4,1088091,0,1,0
