project_type,project_type_encoded,size_sqm,num_workers,location,location_encoded,materials,materials_encoded,complexity,budget_tnd,requested_duration,realistic_duration,artisan_experience,season,season_encoded,weather_risk,delay_risk_score,delay_risk,is_delayed
landscaping,3,436.6,7,urban,2,premium,2,2.1,105856,48,15,9.6,autumn,3,0.3,0.121,LOW,0
landscaping,3,386.2,6,urban,2,standard,1,1.7,23650,40,13,1.3,autumn,3,0.3,0.477,MEDIUM,1
landscaping,3,316.9,6,suburban,1,basic,0,1.3,66891,9,5,12.9,winter,0,0.8,0.092,LOW,0
house,0,76.8,3,rural,0,standard,1,4.0,108901,107,14,9.2,winter,0,0.8,0.046,LOW,0
commercial,2,468.3,4,rural,0,premium,2,1.5,118436,66,48,12.1,summer,2,0.1,0.0,LOW,0
renovation,1,120.2,4,suburban,1,premium,2,3.5,30601,56,12,12.8,autumn,3,0.3,0.125,LOW,0
house,0,219.1,3,urban,2,basic,0,2.2,40889,91,16,5.9,summer,2,0.1,0.0,LOW,0
commercial,2,473.8,7,urban,2,basic,0,2.3,96369,115,29,6.9,autumn,3,0.3,0.149,LOW,0
renovation,1,477.5,6,suburban,1,basic,0,4.1,87974,86,31,12.2,spring,1,0.1,0.124,LOW,0
commercial,2,209.6,1,rural,0,standard,1,1.3,109981,60,35,9.7,summer,2,0.1,0.134,LOW,0
commercial,2,489.2,2,rural,0,standard,1,4.0,188560,118,145,12.3,winter,0,0.8,0.35,LOW,0
renovation,1,325.4,7,rural,0,premium,2,3.8,154237,57,50,3.5,summer,2,0.1,0.32,LOW,0
landscaping,3,60.0,3,rural,0,premium,2,2.0,44680,10,5,13.8,spring,1,0.1,0.0,LOW,0
renovation,1,220.4,2,rural,0,basic,0,4.2,89734,67,29,12.8,summer,2,0.1,0.208,LOW,0
commercial,2,337.2,2,urban,2,premium,2,4.0,81782,47,145,2.4,spring,1,0.1,0.659,HIGH,1
commercial,2,167.1,4,urban,2,standard,1,1.9,61403,7,18,2.9,summer,2,0.1,0.481,MEDIUM,1
commercial,2,57.0,3,urban,2,premium,2,3.3,136437,96,11,9.2,winter,0,0.8,0.213,LOW,0
renovation,1,359.5,1,suburban,1,basic,0,3.3,55001,55,53,10.5,summer,2,0.1,0.192,LOW,0
renovation,1,203.1,3,urban,2,basic,0,3.1,172083,55,11,10.9,spring,1,0.1,0.076,LOW,0
renovation,1,436.3,4,urban,2,standard,1,4.8,62514,36,43,14.5,spring,1,0.1,0.499,MEDIUM,0
landscaping,3,435.6,7,suburban,1,basic,0,2.7,26674,91,14,6.5,summer,2,0.1,0.386,MEDIUM,0
landscaping,3,418.4,5,suburban,1,standard,1,1.2,165427,22,8,7.9,winter,0,0.8,0.038,LOW,0
house,0,433.2,6,suburban,1,premium,2,3.5,39256,42,73,4.8,summer,2,0.1,0.916,HIGH,1
commercial,2,251.7,7,suburban,1,standard,1,1.0,19684,40,9,12.4,summer,2,0.1,0.0,LOW,0
house,0,184.7,7,urban,2,basic,0,4.6,94769,108,20,5.6,autumn,3,0.3,0.271,LOW,0
commercial,2,88.6,1,rural,0,premium,2,2.1,40939,91,48,1.6,autumn,3,0.3,0.289,LOW,0
renovation,1,118.7,4,suburban,1,basic,0,3.4,88529,69,9,4.7,autumn,3,0.3,0.192,LOW,0
commercial,2,316.5,6,suburban,1,standard,1,2.7,109431,114,36,6.1,summer,2,0.1,0.087,LOW,1
renovation,1,187.8,5,urban,2,standard,1,4.8,16161,116,17,7.9,summer,2,0.1,0.401,MEDIUM,0
house,0,480.7,5,rural,0,basic,0,3.3,60097,99,49,12.4,autumn,3,0.3,0.222,LOW,0
house,0,415.7,3,rural,0,basic,0,1.3,35132,115,21,7.9,autumn,3,0.3,0.0,LOW,0
landscaping,3,70.9,5,rural,0,standard,1,2.9,144012,76,5,5.4,spring,1,0.1,0.024,LOW,1
renovation,1,32.9,2,urban,2,standard,1,4.8,137542,69,5,9.3,spring,1,0.1,0.248,LOW,0
commercial,2,41.3,2,rural,0,premium,2,2.8,140117,23,15,3.6,summer,2,0.1,0.233,LOW,1
commercial,2,141.3,7,rural,0,standard,1,2.6,37987,108,23,2.4,spring,1,0.1,0.072,LOW,1
house,0,57.8,4,suburban,1,premium,2,3.2,140519,24,12,1.8,summer,2,0.1,0.344,LOW,0
renovation,1,430.4,3,suburban,1,premium,2,1.7,79981,85,40,0.9,winter,0,0.8,0.278,LOW,0
house,0,187.8,3,rural,0,basic,0,3.3,71704,82,23,10.7,autumn,3,0.3,0.018,LOW,0
house,0,140.9,3,rural,0,premium,2,1.0,131418,92,9,7.0,spring,1,0.1,0.153,LOW,0
landscaping,3,435.8,7,rural,0,basic,0,4.5,52609,78,26,9.0,summer,2,0.1,0.354,MEDIUM,1
house,0,73.5,6,suburban,1,premium,2,2.0,118337,79,7,4.0,spring,1,0.1,0.253,LOW,1
landscaping,3,146.4,4,rural,0,basic,0,3.8,168303,70,9,6.9,autumn,3,0.3,0.044,LOW,0
house,0,353.3,7,urban,2,basic,0,1.5,49912,61,17,1.2,winter,0,0.8,0.307,LOW,0
commercial,2,178.3,4,suburban,1,standard,1,4.8,143676,48,46,5.0,spring,1,0.1,0.355,MEDIUM,1
landscaping,3,239.0,6,rural,0,premium,2,3.6,158335,77,19,10.4,spring,1,0.1,0.153,LOW,0
house,0,71.6,7,urban,2,premium,2,1.0,100958,51,5,11.2,winter,0,0.8,0.122,LOW,1
renovation,1,44.3,2,suburban,1,standard,1,2.7,65385,9,5,2.4,spring,1,0.1,0.201,LOW,0
renovation,1,123.6,1,suburban,1,premium,2,3.5,111236,10,48,1.8,autumn,3,0.3,0.873,HIGH,1
renovation,1,157.4,3,rural,0,basic,0,2.6,142286,97,10,7.9,spring,1,0.1,0.0,LOW,1
house,0,439.6,3,urban,2,premium,2,4.2,52123,46,86,10.9,autumn,3,0.3,0.702,HIGH,1
commercial,2,155.9,1,suburban,1,standard,1,4.1,172373,84,110,0.7,spring,1,0.1,0.689,HIGH,1
renovation,1,115.9,1,suburban,1,premium,2,1.2,141805,83,11,6.4,winter,0,0.8,0.196,LOW,0
renovation,1,390.1,7,urban,2,premium,2,1.5,173131,66,14,7.0,summer,2,0.1,0.155,LOW,0
house,0,494.1,1,urban,2,standard,1,1.4,115952,19,52,13.8,spring,1,0.1,0.441,MEDIUM,1
renovation,1,297.1,5,urban,2,standard,1,1.0,55838,96,5,8.9,summer,2,0.1,0.088,LOW,0
house,0,326.9,2,rural,0,standard,1,2.8,10281,115,54,7.6,autumn,3,0.3,0.242,LOW,0
house,0,266.9,1,rural,0,standard,1,1.2,92003,18,48,2.4,winter,0,0.8,0.766,HIGH,1
house,0,437.8,5,suburban,1,standard,1,2.2,126116,44,31,12.2,spring,1,0.1,0.064,LOW,0
landscaping,3,332.6,5,urban,2,standard,1,3.0,154131,39,14,7.1,summer,2,0.1,0.016,LOW,0
renovation,1,330.3,5,suburban,1,basic,0,4.5,102341,70,25,8.4,winter,0,0.8,0.157,LOW,0
house,0,403.7,1,rural,0,standard,1,1.4,119082,104,57,13.2,spring,1,0.1,0.116,LOW,0
house,0,80.2,7,rural,0,standard,1,2.7,30172,26,7,9.6,summer,2,0.1,0.0,LOW,0
landscaping,3,53.2,7,suburban,1,premium,2,1.5,55709,44,5,6.1,autumn,3,0.3,0.194,LOW,1
house,0,243.3,7,urban,2,premium,2,3.3,186808,60,26,9.8,spring,1,0.1,0.128,LOW,1
commercial,2,153.9,5,rural,0,standard,1,4.7,9806,64,54,1.6,winter,0,0.8,0.625,HIGH,1
renovation,1,221.7,6,rural,0,premium,2,4.9,17729,81,34,10.4,summer,2,0.1,0.536,MEDIUM,1
landscaping,3,283.4,4,urban,2,premium,2,4.9,182805,108,28,9.0,winter,0,0.8,0.223,LOW,0
commercial,2,60.2,5,urban,2,standard,1,2.8,15745,8,6,7.2,spring,1,0.1,0.067,LOW,1
house,0,159.3,4,rural,0,basic,0,3.1,17881,76,16,13.8,autumn,3,0.3,0.276,LOW,0
house,0,413.9,5,suburban,1,premium,2,3.6,144488,114,100,1.3,winter,0,0.8,0.349,LOW,0
commercial,2,78.2,5,urban,2,premium,2,1.6,144569,19,6,7.0,spring,1,0.1,0.052,LOW,0
house,0,345.3,6,rural,0,premium,2,3.0,116688,108,48,12.7,spring,1,0.1,0.185,LOW,0
house,0,288.8,6,rural,0,standard,1,1.4,182668,69,23,0.9,summer,2,0.1,0.254,LOW,0
commercial,2,314.7,2,rural,0,standard,1,2.4,111563,21,55,10.4,spring,1,0.1,0.461,MEDIUM,1
commercial,2,438.7,5,urban,2,basic,0,1.7,16115,29,24,6.3,winter,0,0.8,0.255,LOW,0
commercial,2,81.5,7,suburban,1,standard,1,4.3,68714,79,15,4.6,winter,0,0.8,0.479,MEDIUM,1
commercial,2,237.1,1,urban,2,premium,2,3.5,118247,93,102,10.5,winter,0,0.8,0.359,MEDIUM,1
landscaping,3,163.4,2,suburban,1,premium,2,1.5,136858,33,8,14.5,summer,2,0.1,0.086,LOW,0
house,0,79.7,3,suburban,1,premium,2,3.4,67853,59,14,11.8,spring,1,0.1,0.151,LOW,1
commercial,2,56.4,5,rural,0,standard,1,3.0,190310,90,8,9.8,winter,0,0.8,0.043,LOW,1
house,0,45.7,6,rural,0,premium,2,1.8,158841,61,5,3.1,winter,0,0.8,0.177,LOW,0
house,0,460.0,1,rural,0,basic,0,1.1,184623,30,39,7.8,winter,0,0.8,0.462,MEDIUM,0
landscaping,3,333.6,6,suburban,1,standard,1,4.6,116916,104,22,9.1,spring,1,0.1,0.211,LOW,0
renovation,1,240.5,3,rural,0,premium,2,1.7,5453,104,20,4.8,autumn,3,0.3,0.401,MEDIUM,1
renovation,1,148.6,3,suburban,1,basic,0,2.0,176356,39,9,2.0,autumn,3,0.3,0.161,LOW,1
commercial,2,109.3,4,suburban,1,basic,0,3.2,138375,38,12,10.3,summer,2,0.1,0.02,LOW,0
house,0,172.8,6,urban,2,premium,2,2.3,117044,86,15,6.6,winter,0,0.8,0.189,LOW,0
renovation,1,91.3,3,rural,0,premium,2,3.9,168804,106,21,2.9,winter,0,0.8,0.365,MEDIUM,1
landscaping,3,196.4,1,rural,0,standard,1,2.5,49732,106,24,10.4,summer,2,0.1,0.136,LOW,0
commercial,2,48.3,5,suburban,1,basic,0,2.7,104551,79,5,6.7,autumn,3,0.3,0.0,LOW,0
house,0,33.2,6,suburban,1,basic,0,4.9,197192,109,5,2.4,summer,2,0.1,0.337,LOW,0
commercial,2,135.1,3,urban,2,premium,2,4.6,79653,18,36,7.6,spring,1,0.1,0.554,MEDIUM,0
landscaping,3,299.5,2,suburban,1,premium,2,4.7,188446,87,45,14.3,autumn,3,0.3,0.178,LOW,0
renovation,1,252.8,2,urban,2,premium,2,2.1,182881,84,24,5.6,spring,1,0.1,0.023,LOW,0
renovation,1,349.9,4,rural,0,standard,1,3.5,33489,50,34,13.5,winter,0,0.8,0.467,MEDIUM,1
renovation,1,438.2,2,urban,2,standard,1,1.4,8298,88,18,13.7,winter,0,0.8,0.265,LOW,0
commercial,2,408.6,5,rural,0,premium,2,2.1,134258,98,70,3.9,autumn,3,0.3,0.097,LOW,0
commercial,2,326.2,5,rural,0,basic,0,4.9,193049,38,61,11.1,spring,1,0.1,0.564,MEDIUM,0
landscaping,3,397.4,2,suburban,1,basic,0,2.5,22237,32,22,6.3,spring,1,0.1,0.244,LOW,0
commercial,2,363.2,7,rural,0,basic,0,4.9,165066,15,100,0.8,spring,1,0.1,0.739,HIGH,1
landscaping,3,339.2,7,urban,2,standard,1,3.3,186109,88,17,4.9,autumn,3,0.3,0.227,LOW,0
house,0,317.2,3,urban,2,basic,0,2.4,151805,36,35,1.5,spring,1,0.1,0.182,LOW,0
landscaping,3,498.2,2,rural,0,premium,2,3.5,172492,76,68,12.0,winter,0,0.8,0.199,LOW,1
landscaping,3,223.1,2,urban,2,basic,0,2.0,182492,24,11,2.6,spring,1,0.1,0.029,LOW,0
commercial,2,440.6,3,suburban,1,standard,1,2.8,72327,36,61,7.8,autumn,3,0.3,0.363,MEDIUM,1
commercial,2,430.2,1,suburban,1,standard,1,3.7,71959,78,165,10.5,summer,2,0.1,0.649,HIGH,1
renovation,1,327.1,3,rural,0,basic,0,2.8,106013,48,23,11.4,spring,1,0.1,0.059,LOW,0
house,0,442.6,1,rural,0,basic,0,1.9,163563,32,98,3.1,spring,1,0.1,0.58,MEDIUM,1
landscaping,3,62.6,1,suburban,1,standard,1,2.7,55369,19,11,0.9,autumn,3,0.3,0.338,LOW,0
house,0,359.5,5,urban,2,standard,1,3.5,74955,45,36,7.9,spring,1,0.1,0.048,LOW,0
landscaping,3,166.8,6,suburban,1,standard,1,4.2,92970,94,10,9.1,summer,2,0.1,0.204,LOW,0
house,0,68.4,6,rural,0,basic,0,2.0,183394,28,5,7.2,summer,2,0.1,0.007,LOW,1
house,0,329.4,3,rural,0,standard,1,1.5,78285,56,24,14.0,spring,1,0.1,0.002,LOW,0
house,0,172.1,1,urban,2,basic,0,1.7,84235,19,17,14.0,summer,2,0.1,0.197,LOW,0
landscaping,3,209.6,2,urban,2,basic,0,4.9,134949,54,18,9.7,summer,2,0.1,0.203,LOW,0
commercial,2,174.0,4,rural,0,basic,0,3.6,52864,100,26,7.5,autumn,3,0.3,0.175,LOW,0
landscaping,3,224.0,4,urban,2,premium,2,1.3,69528,51,6,6.4,spring,1,0.1,0.004,LOW,0
house,0,498.1,2,suburban,1,basic,0,1.8,51605,21,40,6.5,spring,1,0.1,0.357,MEDIUM,0
house,0,443.3,3,rural,0,basic,0,2.4,6383,44,40,12.9,spring,1,0.1,0.242,LOW,1
renovation,1,335.6,1,rural,0,standard,1,1.1,28713,96,25,13.5,summer,2,0.1,0.135,LOW,0
house,0,84.4,3,urban,2,premium,2,4.8,84260,50,18,7.5,summer,2,0.1,0.29,LOW,1
house,0,71.1,4,rural,0,basic,0,1.9,163674,72,6,3.4,spring,1,0.1,0.171,LOW,1
landscaping,3,165.9,3,rural,0,basic,0,1.7,115651,72,5,8.3,summer,2,0.1,0.025,LOW,0
house,0,38.0,4,rural,0,standard,1,3.1,103013,8,5,10.7,winter,0,0.8,0.033,LOW,0
renovation,1,311.7,2,urban,2,standard,1,1.1,110693,99,9,10.8,autumn,3,0.3,0.094,LOW,0
landscaping,3,89.0,1,rural,0,standard,1,4.1,99632,73,18,9.9,autumn,3,0.3,0.214,LOW,1
renovation,1,318.2,1,suburban,1,basic,0,1.3,130397,100,29,1.6,spring,1,0.1,0.335,LOW,0
commercial,2,407.7,3,suburban,1,standard,1,3.5,187212,75,73,7.1,spring,1,0.1,0.111,LOW,0
house,0,287.1,4,urban,2,premium,2,4.3,55832,83,50,12.9,spring,1,0.1,0.281,LOW,0
commercial,2,72.6,7,suburban,1,standard,1,2.8,24869,93,11,2.0,autumn,3,0.3,0.305,LOW,0
house,0,400.8,4,rural,0,standard,1,1.4,58462,86,23,10.8,autumn,3,0.3,0.105,LOW,0
renovation,1,437.3,2,suburban,1,basic,0,1.2,61382,105,19,2.8,spring,1,0.1,0.15,LOW,0
house,0,79.7,1,suburban,1,premium,2,1.3,42376,29,11,7.9,summer,2,0.1,0.25,LOW,0
landscaping,3,215.3,3,urban,2,standard,1,4.2,71488,88,16,7.6,summer,2,0.1,0.229,LOW,1
commercial,2,219.7,1,suburban,1,standard,1,4.7,146582,25,146,4.0,spring,1,0.1,0.819,HIGH,1
house,0,258.6,4,suburban,1,premium,2,3.2,195775,94,38,14.3,spring,1,0.1,0.071,LOW,0
house,0,246.5,7,suburban,1,basic,0,1.8,139469,105,10,8.4,autumn,3,0.3,0.09,LOW,0
commercial,2,240.2,2,urban,2,basic,0,2.3,59232,38,33,4.0,spring,1,0.1,0.102,LOW,0
house,0,126.8,4,rural,0,premium,2,3.7,51324,90,25,11.8,spring,1,0.1,0.078,LOW,0
commercial,2,126.3,2,urban,2,premium,2,3.3,95209,20,30,10.4,winter,0,0.8,0.517,MEDIUM,1
renovation,1,231.6,3,urban,2,standard,1,4.6,29694,23,25,8.0,summer,2,0.1,0.207,LOW,0
renovation,1,88.1,7,rural,0,basic,0,4.9,78371,38,12,1.0,summer,2,0.1,0.335,LOW,1
commercial,2,262.0,3,urban,2,basic,0,5.0,56684,112,46,8.2,summer,2,0.1,0.1,LOW,0
renovation,1,210.2,3,urban,2,basic,0,4.2,158411,106,16,11.0,autumn,3,0.3,0.103,LOW,0
commercial,2,343.5,5,rural,0,standard,1,4.0,110234,32,82,5.0,winter,0,0.8,0.654,HIGH,1
house,0,330.0,6,rural,0,basic,0,4.7,129293,96,45,8.2,spring,1,0.1,0.154,LOW,1
house,0,378.0,3,urban,2,standard,1,4.1,37783,56,91,0.9,winter,0,0.8,1.0,HIGH,1
commercial,2,497.0,3,urban,2,basic,0,3.3,110342,59,59,11.0,spring,1,0.1,0.061,LOW,0
commercial,2,125.4,2,urban,2,basic,0,3.9,31531,92,21,7.7,summer,2,0.1,0.145,LOW,0
house,0,373.1,5,rural,0,basic,0,2.0,100345,15,32,3.5,spring,1,0.1,0.523,MEDIUM,1
house,0,172.2,3,urban,2,standard,1,2.1,77031,101,13,7.9,winter,0,0.8,0.085,LOW,0
commercial,2,110.3,5,urban,2,premium,2,2.3,145996,35,16,3.5,autumn,3,0.3,0.103,LOW,1
house,0,40.3,1,suburban,1,standard,1,1.1,75219,94,5,2.5,summer,2,0.1,0.139,LOW,0
renovation,1,332.1,2,rural,0,premium,2,5.0,5426,92,124,2.8,autumn,3,0.3,0.729,HIGH,1
landscaping,3,425.8,1,urban,2,standard,1,4.8,124131,77,86,6.3,spring,1,0.1,0.544,MEDIUM,1
commercial,2,72.5,5,rural,0,premium,2,4.7,99320,84,23,6.3,spring,1,0.1,0.12,LOW,0
landscaping,3,88.0,4,suburban,1,premium,2,2.4,155704,55,6,4.4,summer,2,0.1,0.164,LOW,0
renovation,1,37.2,5,rural,0,premium,2,4.2,142910,98,5,12.2,winter,0,0.8,0.256,LOW,0
landscaping,3,112.9,6,urban,2,basic,0,4.9,157233,118,6,7.8,spring,1,0.1,0.159,LOW,0
commercial,2,265.5,7,urban,2,basic,0,2.5,169413,118,20,5.6,winter,0,0.8,0.114,LOW,0
landscaping,3,342.9,7,rural,0,standard,1,1.4,111105,64,8,7.8,winter,0,0.8,0.113,LOW,0
renovation,1,118.1,1,suburban,1,standard,1,3.9,21796,25,25,13.4,spring,1,0.1,0.117,LOW,0
house,0,84.3,4,urban,2,premium,2,3.2,125819,91,11,10.3,summer,2,0.1,0.208,LOW,1
landscaping,3,252.3,6,rural,0,standard,1,1.6,195078,81,7,13.6,spring,1,0.1,0.0,LOW,1
renovation,1,190.2,4,urban,2,basic,0,3.6,73251,79,11,10.1,summer,2,0.1,0.051,LOW,1
commercial,2,482.0,5,rural,0,premium,2,3.5,123325,12,147,3.3,winter,0,0.8,0.745,HIGH,1
house,0,294.4,3,suburban,1,standard,1,1.2,79870,46,21,2.6,autumn,3,0.3,0.05,LOW,0
renovation,1,70.0,1,suburban,1,standard,1,1.6,80940,77,6,10.9,autumn,3,0.3,0.229,LOW,0
commercial,2,168.1,6,urban,2,standard,1,1.3,146289,52,12,0.8,winter,0,0.8,0.321,LOW,0
landscaping,3,326.7,6,urban,2,premium,2,2.5,91410,97,23,0.7,spring,1,0.1,0.233,LOW,0
renovation,1,428.8,1,suburban,1,basic,0,3.1,135792,86,73,5.1,winter,0,0.8,0.198,LOW,0
commercial,2,294.1,2,rural,0,standard,1,3.6,10713,19,78,8.4,summer,2,0.1,0.682,HIGH,1
house,0,68.3,2,rural,0,standard,1,3.7,66506,17,15,7.3,spring,1,0.1,0.0,LOW,0
landscaping,3,367.1,6,rural,0,premium,2,2.1,87195,84,17,11.3,winter,0,0.8,0.064,LOW,0
house,0,246.5,6,suburban,1,premium,2,3.7,25518,58,35,9.9,autumn,3,0.3,0.295,LOW,0
house,0,64.3,6,suburban,1,premium,2,2.7,141084,64,6,10.8,spring,1,0.1,0.0,LOW,0
landscaping,3,47.6,7,rural,0,basic,0,4.1,92123,96,5,8.3,winter,0,0.8,0.272,LOW,1
commercial,2,346.6,4,rural,0,basic,0,4.4,181674,8,65,7.3,autumn,3,0.3,0.571,MEDIUM,1
commercial,2,197.7,7,urban,2,standard,1,3.0,16721,48,19,10.1,summer,2,0.1,0.328,LOW,1
renovation,1,458.7,3,rural,0,basic,0,3.1,145030,115,36,12.5,autumn,3,0.3,0.174,LOW,1
landscaping,3,312.3,4,rural,0,basic,0,3.8,130891,53,20,7.2,summer,2,0.1,0.086,LOW,0
house,0,379.0,5,suburban,1,basic,0,4.3,88224,14,46,6.5,summer,2,0.1,0.61,HIGH,1
landscaping,3,355.9,2,rural,0,basic,0,2.8,114480,33,28,5.3,winter,0,0.8,0.068,LOW,1
renovation,1,351.6,3,rural,0,premium,2,4.2,118698,22,97,1.4,summer,2,0.1,0.888,HIGH,1
house,0,184.7,6,suburban,1,basic,0,2.7,63353,106,18,1.2,summer,2,0.1,0.18,LOW,1
landscaping,3,216.1,1,suburban,1,standard,1,2.2,177755,102,20,13.8,summer,2,0.1,0.162,LOW,0
house,0,494.5,3,urban,2,premium,2,1.5,70587,60,54,2.0,autumn,3,0.3,0.326,LOW,0
renovation,1,398.7,6,suburban,1,standard,1,3.4,145683,113,35,4.2,summer,2,0.1,0.158,LOW,0
renovation,1,320.4,4,suburban,1,basic,0,3.2,27375,65,19,13.2,summer,2,0.1,0.352,MEDIUM,1
landscaping,3,148.6,4,suburban,1,standard,1,1.1,121079,56,5,15.0,spring,1,0.1,0.034,LOW,0
commercial,2,165.4,4,urban,2,basic,0,4.4,199386,119,37,1.0,spring,1,0.1,0.36,MEDIUM,1
house,0,59.4,5,rural,0,premium,2,2.6,13011,40,7,14.7,summer,2,0.1,0.098,LOW,1
landscaping,3,475.7,3,urban,2,basic,0,4.2,15795,114,34,5.7,winter,0,0.8,0.432,MEDIUM,1
landscaping,3,371.4,2,urban,2,standard,1,2.8,160308,111,23,10.9,autumn,3,0.3,0.115,LOW,0
renovation,1,85.0,6,suburban,1,standard,1,4.0,146875,73,6,7.5,winter,0,0.8,0.155,LOW,0
landscaping,3,121.6,2,urban,2,basic,0,3.0,168162,55,8,4.5,spring,1,0.1,0.023,LOW,0
house,0,142.0,1,suburban,1,basic,0,4.9,30474,30,50,6.5,spring,1,0.1,0.589,MEDIUM,1
renovation,1,482.6,7,rural,0,basic,0,1.3,97518,17,18,1.0,winter,0,0.8,0.362,MEDIUM,0
landscaping,3,293.0,5,rural,0,premium,2,4.4,138219,45,44,3.5,autumn,3,0.3,0.405,MEDIUM,0
renovation,1,72.7,5,urban,2,basic,0,1.9,169839,8,5,3.5,summer,2,0.1,0.117,LOW,0
commercial,2,324.8,5,urban,2,basic,0,4.2,41447,83,39,13.7,winter,0,0.8,0.376,MEDIUM,1
landscaping,3,67.6,5,urban,2,standard,1,4.4,50358,81,5,13.9,summer,2,0.1,0.062,LOW,0
commercial,2,147.7,6,urban,2,standard,1,3.0,16962,72,14,9.3,winter,0,0.8,0.118,LOW,1
landscaping,3,484.6,4,rural,0,standard,1,3.1,195956,103,31,8.6,spring,1,0.1,0.061,LOW,0
renovation,1,237.8,1,urban,2,premium,2,2.3,99324,71,58,0.6,winter,0,0.8,0.482,MEDIUM,1
house,0,202.2,7,urban,2,basic,0,1.0,60228,32,5,4.0,summer,2,0.1,0.125,LOW,0
commercial,2,301.2,5,suburban,1,standard,1,1.8,164656,27,21,8.6,autumn,3,0.3,0.007,LOW,0
landscaping,3,294.2,4,urban,2,premium,2,2.8,38037,87,26,1.6,autumn,3,0.3,0.321,LOW,1
house,0,157.2,4,rural,0,standard,1,4.7,103094,25,31,14.2,autumn,3,0.3,0.428,MEDIUM,0
renovation,1,344.5,6,urban,2,premium,2,2.4,145209,11,26,3.3,autumn,3,0.3,0.638,HIGH,1
house,0,243.4,3,suburban,1,standard,1,2.5,171608,100,27,6.2,spring,1,0.1,0.092,LOW,0
house,0,391.5,3,urban,2,standard,1,3.3,109029,63,46,14.2,summer,2,0.1,0.002,LOW,0
commercial,2,253.1,2,rural,0,standard,1,1.5,109688,94,28,11.8,summer,2,0.1,0.0,LOW,0
commercial,2,314.6,5,suburban,1,standard,1,1.1,24860,28,14,10.1,winter,0,0.8,0.198,LOW,0
renovation,1,124.4,6,rural,0,standard,1,2.6,99589,112,7,11.6,autumn,3,0.3,0.125,LOW,0
commercial,2,63.4,4,suburban,1,premium,2,3.2,141408,17,11,12.4,autumn,3,0.3,0.14,LOW,1
house,0,475.5,1,rural,0,standard,1,4.6,119537,111,244,6.4,spring,1,0.1,0.696,HIGH,1
landscaping,3,136.6,3,urban,2,standard,1,3.0,179476,69,7,7.7,summer,2,0.1,0.0,LOW,0
house,0,119.1,1,urban,2,basic,0,4.4,22311,24,33,6.9,winter,0,0.8,0.512,MEDIUM,1
commercial,2,305.2,3,urban,2,premium,2,2.0,67511,48,35,11.1,autumn,3,0.3,0.092,LOW,0
renovation,1,409.9,5,urban,2,premium,2,4.0,179234,94,64,1.6,winter,0,0.8,0.467,MEDIUM,1
renovation,1,402.6,6,rural,0,basic,0,2.4,162502,75,29,1.1,winter,0,0.8,0.346,LOW,0
renovation,1,315.5,5,rural,0,standard,1,2.0,113283,86,21,4.3,winter,0,0.8,0.255,LOW,0
commercial,2,38.3,5,urban,2,basic,0,3.8,8144,45,5,4.8,summer,2,0.1,0.196,LOW,0
commercial,2,405.5,2,suburban,1,premium,2,1.9,137022,100,77,4.6,autumn,3,0.3,0.176,LOW,0
house,0,198.7,5,urban,2,basic,0,4.2,62467,36,31,0.9,spring,1,0.1,0.261,LOW,0
commercial,2,221.0,6,suburban,1,premium,2,4.3,186335,59,61,4.0,autumn,3,0.3,0.275,LOW,0
renovation,1,264.2,6,suburban,1,premium,2,1.9,30438,45,14,6.5,summer,2,0.1,0.0,LOW,0
commercial,2,138.4,5,rural,0,standard,1,3.4,177934,109,22,12.5,winter,0,0.8,0.116,LOW,0
commercial,2,72.1,6,rural,0,standard,1,1.1,112188,72,5,12.2,winter,0,0.8,0.072,LOW,0
renovation,1,468.7,4,urban,2,basic,0,3.7,143216,83,48,0.6,spring,1,0.1,0.208,LOW,1
renovation,1,110.4,3,urban,2,basic,0,4.2,129663,109,8,7.4,summer,2,0.1,0.259,LOW,0
landscaping,3,64.8,7,urban,2,basic,0,5.0,146362,28,5,8.0,winter,0,0.8,0.297,LOW,0
landscaping,3,482.6,3,rural,0,premium,2,4.3,116601,69,67,7.2,spring,1,0.1,0.123,LOW,0
house,0,312.9,5,rural,0,standard,1,2.1,159604,99,25,8.6,summer,2,0.1,0.014,LOW,0
commercial,2,154.2,4,suburban,1,standard,1,1.5,174655,68,15,1.2,summer,2,0.1,0.231,LOW,1
landscaping,3,103.8,5,suburban,1,basic,0,2.8,197910,112,5,2.5,autumn,3,0.3,0.115,LOW,0
commercial,2,311.5,4,urban,2,premium,2,3.9,175576,111,62,14.1,autumn,3,0.3,0.202,LOW,0
house,0,222.8,2,rural,0,premium,2,2.2,82703,7,38,10.5,summer,2,0.1,0.412,MEDIUM,0
commercial,2,499.2,5,suburban,1,premium,2,1.4,107729,19,36,8.9,winter,0,0.8,0.556,MEDIUM,1
landscaping,3,281.6,7,rural,0,standard,1,4.3,191793,14,24,5.3,summer,2,0.1,0.573,MEDIUM,1
commercial,2,54.5,1,suburban,1,standard,1,3.7,162470,8,31,2.4,summer,2,0.1,0.607,HIGH,1
renovation,1,468.3,1,rural,0,premium,2,3.4,162838,82,138,8.0,spring,1,0.1,0.705,HIGH,1
house,0,483.9,6,urban,2,standard,1,1.9,16685,38,34,3.6,summer,2,0.1,0.395,MEDIUM,1
